Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|2|AGL6J2051|AGL|AUD|||AU000AGLFT92|27-OCT-16 C OPT 2051 [AGLFT9]|AGLFT9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2100|AGL|AUD|||AU000AGLB497|27-OCT-16 C OPT 2100 [AGLB49]|AGLB49|AU|||146||XASX|ax|||||0||
146|2|AGL6J2150|AGL|AUD|||AU000AGLBQ99|27-OCT-16 C OPT 2150 [AGLBQ9]|AGLBQ9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2200|AGL|AUD|||AU000AGLBX90|27-OCT-16 C OPT 2200 [AGLBX9]|AGLBX9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2250|AGL|AUD|||AU000AGLC891|27-OCT-16 C OPT 2250 [AGLC89]|AGLC89|AU|||146||XASX|ax|||||0||
146|2|AGL6J2300|AGL|AUD|||AU000AGLGT91|27-OCT-16 C OPT 2300 [AGLGT9]|AGLGT9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2350|AGL|AUD|||AU000AGLIF95|27-OCT-16 C OPT 2350 [AGLIF9]|AGLIF9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2400|AGL|AUD|||AU000AGLIZ91|27-OCT-16 C OPT 2400 [AGLIZ9]|AGLIZ9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2450|AGL|AUD|||AU000AGLKU92|27-OCT-16 COPT2450 [AGLKU9]|AGLKU9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1|AGL|AUD|||AU000AGLMP97|24-NOV-16 COPT1 [AGLMP9]|AGLMP9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1475|AGL|AUD|||AU000AGLMU90|24-NOV-16 COPT1475 [AGLMU9]|AGLMU9|AU|||146||XASX||||||0||
146|2|AGL6K1500|AGL|AUD|||AU000AGLCL93|24-NOV-16 C OPT 1500 [AGLCL9]|AGLCL9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1501|AGL|AUD|||AU000AGLDW99|24-NOV-16 C OPT 1501 [AGLDW9]|AGLDW9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1550|AGL|AUD|||AU000AGLCZ97|24-NOV-16 C OPT 1550 [AGLCZ9]|AGLCZ9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1551|AGL|AUD|||AU000AGLDX98|24-NOV-16 C OPT 1551 [AGLDX9]|AGLDX9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1600|AGL|AUD|||AU000AGLCH99|24-NOV-16 C OPT 1600 [AGLCH9]|AGLCH9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1601|AGL|AUD|||AU000AGLE194|24-NOV-16 C OPT 1601 [AGLE19]|AGLE19|AU|||146||XASX|ax|||||0||
146|2|AGL6K1650|AGL|AUD|||AU000AGLCV91|24-NOV-16 C OPT 1650 [AGLCV9]|AGLCV9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1700|AGL|AUD|||AU000AGLCJ97|24-NOV-16 C OPT 1700 [AGLCJ9]|AGLCJ9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1701|AGL|AUD|||AU000AGLLA95|24-NOV-16 COPT1701 [AGLLA9]|AGLLA9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1750|AGL|AUD|||AU000AGLCX99|24-NOV-16 C OPT 1750 [AGLCX9]|AGLCX9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1751|AGL|AUD|||AU000AGLLB94|24-NOV-16 COPT1751 [AGLLB9]|AGLLB9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1800|AGL|AUD|||AU000AGLCT95|24-NOV-16 C OPT 1800 [AGLCT9]|AGLCT9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1801|AGL|AUD|||AU000AGLLE91|24-NOV-16 COPT1801 [AGLLE9]|AGLLE9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1850|AGL|AUD|||AU000AGLD899|24-NOV-16 C OPT 1850 [AGLD89]|AGLD89|AU|||146||XASX|ax|||||0||
146|2|AGL6K1900|AGL|AUD|||AU000AGLCR97|24-NOV-16 C OPT 1900 [AGLCR9]|AGLCR9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1950|AGL|AUD|||AU000AGLDK93|24-NOV-16 C OPT 1950 [AGLDK9]|AGLDK9|AU|||146||XASX|ax|||||0||
146|2|AGL6K1951|AGL|AUD|||AU000AGLG298|24-NOV-16 C OPT 1951 [AGLG29]|AGLG29|AU|||146||XASX|ax|||||0||
146|2|AGL6K2000|AGL|AUD|||AU000AGLCP99|24-NOV-16 C OPT 2000 [AGLCP9]|AGLCP9|AU|||146||XASX|ax|||||0||
146|2|AGL6K2001|AGL|AUD|||AU000AGLG397|24-NOV-16 C OPT 2001 [AGLG39]|AGLG39|AU|||146||XASX|ax|||||0||
146|2|AGL6K2050|AGL|AUD|||AU000AGLD493|24-NOV-16 C OPT 2050 [AGLD49]|AGLD49|AU|||146||XASX|ax|||||0||
146|2|AGL6K2051|AGL|AUD|||AU000AGLG694|24-NOV-16 C OPT 2051 [AGLG69]|AGLG69|AU|||146||XASX|ax|||||0||
146|2|AGL6K2100|AGL|AUD|||AU000AGLCN91|24-NOV-16 C OPT 2100 [AGLCN9]|AGLCN9|AU|||146||XASX|ax|||||0||
